Strategy,Security Type,Clearing Broker,Sid,Ticker,Security Description,Start Price [N],End Price [N],End Quantity,Quantity Change,Start OTE,End OTE,Realized P&L,Total P&L,End Market Value,Manager,Legal Entity
STRESSED CREDIT_CORE,Corporate Bond,JPM,158252836,CBSR BOND,CBSR 144A 6.5% 05/01/2027,1.684,1.684,"43,902,000.",0.,"-5,450,687.82","-5,450,687.82",0.,0.,"739,309.68",Courtney Carson,
CORE,Corporate Bond,GSCO,176449544,PBI BOND,PBI 144A 6.875% 03/15/2027,75.39,75.39,"-9,500,000.",0.,"760,450.","760,450.",0.,"-1,814.2361","-7,162,050.",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,197527834,AMERAIAI CDS,AAL CDS 5.00% 12/20/2024 SNRFOR XR14,0.3435,0.3435,"-89,000,000.",0.,"-3,638,178.0523","-3,638,178.0523",0.,"-12,361.1111","-305,678.0523",Courtney Carson,
ZZZ_NONE,Cash,MS-TRS,59,USD,US DOLLAR,1.,1.,-5.04,0.,0.,0.,0.,0.,-5.04,Courtney Carson,Hein Park Master Fund LP
POST REORG,Equity Warrant,MSCO,820002059,HTZ 6 C 13.8 WARRANT,HTZZ 06/30/2051 C 13.8 WARRANT,9.515,9.515,"1,222,984.",0.,"7,294,669.7153","7,294,669.7153",0.,0.,"11,636,692.76",Courtney Carson,
ZZZ_NONE,Cash,MS-OTC,59,USD,US DOLLAR,1.,1.,"470,067.8",0.,0.,0.,0.,0.,"470,067.8",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,186485857,BZH CDS,BZH CDS 5.00% 06/20/2027 SNRFOR XR14,9.0548,9.0548,"-5,000,000.",0.,"-523,442.5596","-523,442.5596",0.,-694.4444,"-452,741.7096",Courtney Carson,
DISTRESSED/NP,Cash,FRB,59,USD,US DOLLAR,1.,1.,"-19,595.",0.,0.,0.,0.,0.,"-19,595.",Courtney Carson,
DISTRESSED/NP,Cash,MSCO,59,USD,US DOLLAR,1.,1.,"19,595.",0.,0.,0.,0.,0.,"19,595.",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,192791729,MDC CDS,MDC CDS 1.00% 12/20/2027 SNRFOR XR14,-0.8782,-0.8782,"-35,000,000.",0.,"-2,288,976.2504","-2,288,976.2504",0.,-972.2222,"307,364.9251",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,820002129,UAL CDS,UAL CDS 5.00% 12/20/2027 SNRFOR XR14,3.703,3.703,"-50,000,000.",0.,"-3,759,221.6263","-3,759,221.6263",0.,"-6,944.4444","-1,851,486.0383",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,192781705,TOL CDS,TOL CDS 1.00% 12/20/2027 SNRFOR XR14,-0.3546,-0.3546,"-35,000,000.",0.,"-2,352,841.5283","-2,352,841.5283",0.,-972.2222,"124,093.9797",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,192789020,KBH CDS,KBH CDS 5.00% 12/20/2027 SNRFOR XR14,13.8281,13.8281,"-35,000,000.",0.,"-3,535,359.5551","-3,535,359.5551",0.,"-4,861.1111","-4,839,838.7836",Courtney Carson,
CORE,Corporate Bond,GSCO,174594263,LEGHOS BOND,LEGHOS 144A 5% 02/01/2026,94.0995,94.0995,"25,800,000.",0.,"1,266,421.","1,266,421.",0.,"3,583.3333","24,277,671.",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,170502946,RCL CDS,RCL CDS 5.00% 12/20/2025 SNRFOR XR14,5.9681,5.9681,"-15,000,000.",0.,"-1,557,720.8094","-1,557,720.8094",0.,"-2,083.3333","-895,220.8094",Courtney Carson,
STRESSED CREDIT_CORE,Corporate Bond,JPM,136345345,AAL BOND,AAL 3.25% 10/15/2028,85.5416,85.5416,"14,502,000.",0.,"-536,162.5769","-536,162.5769",0.,912.2119,"8,643,551.9853",Courtney Carson,
ZZZ_NONE,Cash,GSCO,107,GBP,BRITISH POUND,1.,1.,"-8,003,865.29",0.,"128,862.2329","128,862.2329",0.,0.,"-10,166,509.6914",Cash,Hein Park Co-Investment 2020-1 LP
STRESSED CREDIT_CORE,Corporate Bond,GSCO,124798830,AAL BOND,AAL 3.375% 05/01/2027,90.2012,90.2012,"3,181,000.",0.,"-429,501.6605","-429,501.6605",0.,179.079,"1,723,000.9011",Courtney Carson,
TEST,Cash,MSCO,107,GBP,BRITISH POUND,1.,1.,"22,500,000.",0.,"-1,399,499.9903","-1,399,499.9903",0.,0.,"28,579,500.",Test Manager,Test Legal Entity
TEST,Cash,MSCO,59,USD,US DOLLAR,1.,1.,"-28,848,352.5",0.,0.,0.,0.,0.,"-28,848,352.5",Test Manager,Test Legal Entity
ZZZ_NONE,Cash,MS-FX,104,EUR,EURO,1.,1.,"-3,105,486.59",0.,"304,856.2276","304,856.2276",0.,0.,"-3,386,843.6751",,
SHORTS,Corporate Bond,GSCO,148532230,AXL BOND,AXL 6.25% 03/15/2026,97.4347,97.4347,"-5,000,000.",0.,"178,876.5","178,876.5",0.,-868.0556,"-4,871,733.5",Courtney Carson,
CORE,Corporate Bond,MSCO,197765091,DBD BOND,DBD 144a 9.375% 07/15/2025,34.,34.,"24,306,000.",0.,"-5,831,112.5496","-5,831,112.5496",0.,0.,"8,264,040.",Courtney Carson,
FUNDING,Cash,MS-OTC,59,USD,US DOLLAR,1.,1.,"-290,801.83",0.,0.,0.,0.,0.,"-290,801.83",Courtney Carson,
DISTRESSED/NP_HPMF,Cash,BKDEBT,59,USD,US DOLLAR,1.,1.,"25,287,935.02",0.,0.,0.,0.,0.,"25,287,935.02",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP_JSCC,Cash,BKDEBT,59,USD,US DOLLAR,1.,1.,"13,733,864.93",0.,0.,0.,0.,0.,"13,733,864.93",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP_TG,Cash,BKDEBT,59,USD,US DOLLAR,1.,1.,"4,335,755.79",0.,0.,0.,0.,0.,"4,335,755.79",Courtney Carson,HPT Opportunity LP
STRESSED CREDIT_CORE,Convertible Bond,JPM,820001923,PTON BOND,PTON 0% 02/15/2026,76.7484,76.7484,"39,519,000.",0.,"-3,040,360.7705","-3,040,360.7705",0.,0.,"30,330,217.9796",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,168070615,RCL CDS,RCL CDS 5.00% 06/20/2024 SNRFOR XR14,3.2201,3.2201,"-3,000,000.",0.,"-231,604.1274","-231,604.1274",0.,-416.6667,"-96,604.1274",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,820002124,UAL CDS,UAL CDS 5.00% 12/20/2025 SNRFOR XR14,5.1054,5.1054,"-28,000,000.",0.,"-2,403,260.3168","-2,403,260.3168",0.,"-3,888.8889","-1,429,510.3168",Courtney Carson,
SHORTS,Credit Default Swap - Cleared,MS-CCP,200613657,CDX-NAHY CDX,CDXNAHY S37-V3 5Y CDX 5.00% 12/20/2026,4.8234,4.8234,"-75,000,000.",0.,"1,316,664.9852","1,316,664.9852",0.,"-10,208.3333","-3,545,188.5148",Courtney Carson,
SHORTS,Credit Default Swap - OTC,MS-CCP,820002095,UAL CDS,UAL CDS 5.00% 12/20/2026 SNRFOR XR14,4.6229,4.6229,"-32,000,000.",0.,"-990,428.2166","-990,428.2166",0.,"-4,444.4444","-1,479,337.6478",Courtney Carson,
CORE,Corporate Bond,JPM,173016858,FYBR BOND,FYBR 144A 5% 05/01/2028,85.9697,85.9697,"5,500,000.",0.,"-167,917.05","-167,917.05",0.,763.8889,"4,728,332.95",Courtney Carson,
DISTRESSED/NP_TG_SERIES_B,Cash,FRB,59,USD,US DOLLAR,1.,1.,"1,143,369.12",0.,0.,0.,0.,0.,"1,143,369.12",Courtney Carson,HPT Opportunity LP
CORE,Credit Default Swap - OTC,MS-CCP,181269016,STORA CDS,STORA EUR CDS 5.00% 12/20/2026 SNRFOR MM14,13.5109,13.5109,"-10,000,000.",0.,"414,790.6149","414,790.6149",0.,"-1,514.7222","-1,473,499.4465",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,820002107,UAL CDS,UAL CDS 5.00% 12/20/2024 SNRFOR XR14,4.3811,4.3811,"-8,000,000.",0.,"-492,987.281","-492,987.281",0.,"-1,111.1111","-350,487.281",Courtney Carson,
FUNDING,Cash,PR-CMPTSH,59,USD,US DOLLAR,1.,1.,"1,188,485.67",0.,0.,0.,0.,0.,"1,188,485.67",Courtney Carson,
CORE,Corporate Bond,MSCO,191211629,MNK BOND,MNK 144A 10% 06/15/2029,16.5,16.5,"9,825,000.",0.,"-6,394,048.665","-6,394,048.665",0.,0.,"1,621,125.",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,820002139,RCL CDS,RCL CDS 5.00% 12/20/2027 SNRFOR XR14,7.4632,7.4632,"-10,000,000.",0.,"-1,290,068.6205","-1,290,068.6205",0.,"-1,388.8889","-746,318.6205",Courtney Carson,
CORE,Corporate Bond,JPM,197765006,DBD BOND,DBD 144A 8.5% 10/15/2026,1.75,1.75,"5,351,903.",0.,"-5,222,870.2346","-5,222,870.2346",0.,0.,"93,658.3025",Courtney Carson,
CORE,Corporate Bond,MSCO,197765006,DBD BOND,DBD 144A 8.5% 10/15/2026,1.75,1.75,"7,122,304.",0.,"-6,690,164.7234","-6,690,164.7234",0.,0.,"124,640.32",Courtney Carson,
CORE,Corporate Bond,MSCO,168744427,AXTA BOND,AXTA 144A 4.75% 06/15/2027,94.8372,94.8372,"-3,000,000.",0.,"12,384.33","12,384.33",0.,-395.8333,"-2,845,115.67",Courtney Carson,
CORE,Corporate Bond,MSCO,172765751,AXTA BOND,AXTA 144A 3.375% 02/15/2029,85.9028,85.9028,"-3,000,000.",0.,"2,916.72","2,916.72",0.,-281.25,"-2,577,083.28",Courtney Carson,
ZZZ_NONE,Cash,PR-TSX,59,USD,US DOLLAR,1.,1.,"677,642.75",0.,0.,0.,0.,0.,"677,642.75",Courtney Carson,Hein Park Master Fund LP
CORE,Credit Default Swap - OTC,MS-CCP,820002183,UAL CDS,UAL CDS 5.00% 06/20/2028 SNRFOR XR14,3.1488,3.1488,"-18,000,000.",0.,"-271,937.3239","-271,937.3239",0.,"-2,500.","-566,781.0502",Courtney Carson,
ZZZ_NONE,Cash,BKDEBT,104,EUR,EURO,1.,1.,"19,921,615.27",0.,"-98,218.2847","-98,218.2847",0.,0.,"21,726,513.6135",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,197527847,AMERAIAI CDS,AAL CDS 5.00% 06/20/2028 SNRFOR XR14,-5.237,-5.237,"-5,000,000.",0.,"-144,399.2039","-144,399.2039",0.,-694.4444,"261,850.7961",Courtney Carson,
FUNDING,Cash,BKDEBT,104,EUR,EURO,1.,1.,"-19,921,615.18",0.,"98,218.2843","98,218.2843",0.,0.,"-21,726,513.5153",Courtney Carson,
STRESSED CREDIT_CORE,Corporate Bond,GSCO,136345345,AAL BOND,AAL 3.25% 10/15/2028,85.5416,85.5416,"2,119,000.",0.,"-321,264.2207","-321,264.2207",0.,133.2904,"1,262,976.6003",Courtney Carson,Hein Park Master Fund LP
STRESSED CREDIT_CORE,Equity,GSCO,100006643,AUDAD,AUDACY INC,1.1,1.1,"92,591.",0.,"-9,829,453.451","-9,829,453.451",0.,0.,"101,850.1",Courtney Carson,
PERFORMING CREDIT,Hedge Fund,BKDEBT,820002181,HPLEND_FOF HPMF,Hein Park Lending Partners LP - HPMF,1.1107,1.1107,"26,913,644.34",0.,"2,978,819.1381","2,978,819.1381",0.,0.,"29,892,463.4781",Courtney Carson,Hein Park Master Fund LP
